Taxa_Name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
Clostridiaceae	1.15589	9.09173	1.09578	4.24011	2.18966	7.9679	2.50635	0.03719	8.40241	4.68882	0.07781	5.99464	6.23094	6.10586	2.04148	9.7307	1.88616	1.575	8.6312	1.54118	0.5786	4.5106	0.24325	13.76191	12.10056	4.89275	0.48744	2.41804	0.79378	2.81382	4.00764	1.83505	7.23824	0.33861	0.66342	0.22934	1.4089	3.01466	6.0238	0.88293	8.71119	0.59075	5.14712	9.86228	2.1452	0.33885	3.44996	9.19017	0.40316
Clostridia_unclassified	1.08763	0.16954	0.3873	0.09379	1.91412	0.42636	0.58036	0.73629	0.07585	2.1046	0.08445	1.26	1.89149	1.31139	0.09122	0.39275	0.21819	0.00193	0.5944	0.09479	0.57867	3.77815	0.42216	0.63427	0	0.2291	6.4015	0.30919	1.39157	0.14682	0.61474	0.57543	4.0735	0.36023	0.19635	5.19781	0.48097	0.8902	0.37325	0.62006	0.09036	4.33657	0.50541	0	0.35131	0.29407	4.19187	0.33754	0.55189
Streptococcaceae	1.04641	6.31133	0	1.349	0	0	0.11615	0.4116	0.27343	0	0	0.02456	0.12471	0	1.68441	0.07298	0	1.28733	1.36592	0	0.14516	0	0	4.10377	1.11036	6.48475	0	0	9.99124	0.99473	0.12022	0.18191	0.76391	1.58734	0	0	0.38497	0.04321	0	0	1.2905	0	0	0.33061	0.62476	0	0.43754	3.28123	17.75342
Sutterellaceae	0.90483	0.36257	0	0.35338	0.04575	3.78372	0	0.40846	0.34966	0.01631	0	1.81517	1.24911	1.02999	0.47684	0	1.62035	0.30418	1.9112	0	0	0	0	2.51482	0	0	0	0.19691	0.04483	0	0	1.54292	0	0	0.37501	0.23664	1.64118	0.2162	0	0.05307	0.84959	0.00495	0.18587	1.33125	0	0	0.06115	0.57384	0
FGB3012	0.77015	0	0	0.51016	0	0	0	1.4964	0	0	1.49908	0	0	0.09165	0	0.69757	0	0	0	0.62627	0	0	0.22352	0	0	0	1.20295	0.98889	0	1.38507	1.07382	0	0	0	0	0	1.23167	1.06303	0	0	0	0.50141	0.77875	0.16226	0.77895	0	0.68189	0.43354	0
Lactobacillaceae	0.71844	3.80819	0	0.06549	0.06373	0	0	0.31683	0.29902	0	0	0	0	0	3.29687	0	0	5.73597	0	0	0	0	0	0.33254	0	7.3181	0	0	0	0.00245	0	0	0	0	0	0.03959	0	0.17742	0	0	0	0	0	0.39997	0	0	0.0874	0.42345	0.01889
Eggerthellaceae	0.4592	0.50147	0.38111	0.07078	0.14508	1.11108	1.33537	0.01123	0.23891	0.61891	1.07653	0.04216	0.07265	0	0.07268	0.00833	0	0.09224	0.01366	0	0.31452	1.37861	0.04389	0.14593	0	0.0829	0.02192	0.85509	0.05171	0.29489	0.41642	0.42317	0.55485	0.08927	0.4325	0.12249	0.97176	1.33993	0	0.12651	0.37388	0.31993	0	0	0.04079	0.09085	0.00358	0.32358	0.01946
Ruminococcaceae	0.06479	0.79036	0	0	0	0.02422	0.05252	0.23692	0.88727	0.011	0	0.2995	0	0	0	0	0.10232	0	0.85395	0	0	0	0.79789	0.19773	0	0	0	0.08651	0	0	0	0	0	0	0.38162	0	0	0	0.08223	0.0654	0.59052	0	2.85292	0	0.39312	1.93197	0	0.21624	0.29997
Prevotellaceae	0.04116	0	0	0	0	10.169	2.40644	0	0	0.45699	0	0	0	0.45303	8.76973	0.13001	0	2.16415	0	0	0	0	0	1.02586	0	0	0.43197	0	0	0	0	0	0	0	2.89736	0.17416	0	0	17.49828	0.0214	1.58498	0	0.37474	0.39752	0	0	0.06569	0	0
FGB74461	0.0294	0.13777	0	0.03703	0	0	0	0.03535	0	0.00642	0	0	0	0	0	0	0	0	0.06076	0	0	0	0	0	0	0	0	0.01528	0	0	0	0	0	0	0	0.01555	0	0	0	0.03386	0	0.05969	0.02314	0	0	0	0	0	0
